T	y_agl	yaw	airspeed	rotor_radspersec	vh_ind_fpm
0	500	0	50		54	0
1	600	0	50	54	0
2	700	0	50	54	0
3	800	0	50	54	0
100	1300	0	50	54	0
110	1300	0	50	54	0
120	1300	0	50	54	0
130	1300	0	50	54	0
140	1300	0	50	54	0
150	1300	0	35	54	0
160	1300	0	50	54	0
170	1300	0	50	45	0
180	1300	0	50	40	0
190	1300	0	50	30	-100
200	900	0	55	35	-500
300	800	0	60	54	-500
400	100	0	65	54	-300
500	30	0	60	54	-80
520	20	0	50	54	-10
540	10	0	50	54	-5
560	10	0	50	54	-5
580	10	0	50	54	0
585	10	0	40	54	0
590	10	0	30	44	0
580	10	0	20	34	0
585	10	0	10	20	0
