
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
     76.96442 |       0.05025 |       0.05025 |       0.00000 |      10.73001 |      10.73001 |     119.89037 |       0.00000 |       1.01727 |       1.02462 |       1.02414 |       0.00000 |       1.17911 |       1.17911 |       0.00155 |       0.19792 |       1.63991 |       0.22405 |      -0.56665 |       0.00000 |       0.00000 |       0.00000 |      -0.00063 |       0.05086 |       0.12141 |       1.75523 |      -0.40802 |     254.10690 |     254.33665 |     -46.40599 |       2.72206 |     166.21373 |      84.42382 |       0.05447 |      51.87719 |      -0.35366 |     491.61639 |       0.06381 |       1.00000 |       3.16061 |      51.50000 |       0.00000 |  -24304.76172 |     -35.06507 |  -42048.33203 |       0.00995 |       0.52497 |       0.04634 |       0.00624 |       0.00000 | 
     87.55949 |       0.10050 |       0.10050 |       0.00000 |      10.73003 |      10.73003 |     119.89039 |       0.00000 |       1.05504 |       1.06267 |       1.06222 |       0.00000 |       1.22289 |       1.22289 |       0.00161 |       1.26798 |       0.82331 |      -0.07642 |       0.63267 |       0.00000 |       0.00000 |       0.00000 |      -0.05951 |      -0.01659 |      -0.00118 |       1.65014 |      -0.34677 |     254.15230 |     254.38205 |     -46.74328 |      -2.13268 |     305.55286 |      85.44933 |      -0.01333 |      51.87719 |      -0.35366 |     491.70932 |       0.15671 |       1.00000 |      10.35196 |      51.50000 |       0.00000 |  -24304.76172 |     -35.03676 |  -42048.33203 |      -0.03726 |       0.54464 |      -0.02898 |       0.01555 |       0.00000 | 
     95.84370 |       0.66786 |       0.66786 |       0.00000 |      10.73019 |      10.73019 |     119.89055 |       0.00000 |       0.19315 |       0.19455 |       0.19455 |       0.00000 |       0.22388 |       0.22388 |       0.00029 |      10.44710 |       0.95897 |       0.00137 |       0.52000 |       0.00000 |       0.00000 |       0.00000 |       0.07625 |      -0.03000 |       0.03863 |       0.13062 |      -0.25929 |     254.68512 |     254.91487 |      16.26662 |      -2.93645 |      44.09856 |     -15.15436 |      -0.03723 |      51.87719 |      -0.35366 |     491.78586 |       0.23281 |       1.00000 |     196.26320 |      51.50000 |       0.00000 |  -24304.79102 |     -35.01350 |  -42048.32812 |       0.06766 |      -0.02636 |      -0.06888 |       0.21206 |       0.00003 | 
     96.85901 |       1.20206 |       1.20206 |       0.00000 |      10.73033 |      10.73033 |     119.89069 |       0.00000 |       0.12794 |       0.12887 |       0.12886 |       0.00000 |       0.14830 |       0.14830 |       0.00020 |       5.37716 |       1.00034 |       0.00341 |      -0.42332 |       0.00000 |       0.00000 |       0.00000 |      -0.03379 |       0.04619 |       0.00139 |       0.52443 |      -0.23446 |     255.13368 |     255.36343 |      -1.86716 |       3.72161 |     195.58664 |      15.31318 |       0.04513 |      51.87719 |      -0.35366 |     491.77054 |       0.21776 |       1.00000 |     346.42065 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01810 |  -42048.32422 |      -0.01754 |       0.01785 |       0.06139 |       0.32993 |       0.00005 | 
     97.84476 |       2.03461 |       2.03461 |       0.00000 |      10.73057 |      10.73057 |     119.89092 |       0.00000 |       0.15419 |       0.15530 |       0.15530 |       0.00000 |       0.17872 |       0.17872 |       0.00024 |       1.74545 |       0.99776 |       0.02713 |       0.79681 |       0.00000 |       0.00000 |       0.00000 |      -0.00160 |      -0.11419 |       0.00351 |       0.49163 |      -0.30861 |     255.74905 |     255.97881 |      -2.67463 |      -7.06940 |     344.49612 |       1.15572 |      -0.01971 |      51.87719 |      -0.35366 |     491.77100 |       0.21801 |       1.00000 |     451.95172 |      51.50000 |       0.00000 |  -24304.78125 |     -35.01804 |  -42048.33203 |      -0.02099 |       0.00102 |      -0.07708 |       0.47541 |       0.00008 | 
     98.86514 |       2.87896 |       2.87896 |       0.00000 |      10.73080 |      10.73080 |     119.89116 |       0.00000 |       0.13226 |       0.13321 |       0.13321 |       0.00000 |       0.15330 |       0.15330 |       0.00020 |       0.48413 |       1.00230 |       0.00843 |      -0.59795 |       0.00000 |       0.00000 |       0.00000 |       0.00033 |       0.08201 |       0.00348 |       0.41016 |      -0.12928 |     256.05084 |     256.28058 |     -10.80031 |       6.03160 |     164.21138 |       0.61396 |       0.05381 |      51.87719 |      -0.35366 |     491.77353 |       0.22054 |       1.00000 |     482.23907 |      51.50000 |       0.00000 |  -24304.78320 |     -35.01730 |  -42048.33594 |       0.01832 |       0.00124 |       0.06602 |       0.62467 |       0.00010 | 
     99.85107 |       3.71546 |       3.71546 |       0.00000 |      10.73103 |      10.73103 |     119.89140 |       0.00000 |       0.10731 |       0.10809 |       0.10809 |       0.00000 |       0.12439 |       0.12439 |       0.00016 |       0.11138 |       0.99703 |       0.00384 |       0.56683 |       0.00000 |       0.00000 |       0.00000 |       0.00017 |      -0.06501 |      -0.01081 |       0.41324 |      -0.30413 |     256.39136 |     256.62109 |       8.06360 |      -4.83685 |     348.85355 |      -1.44223 |      -0.00235 |      51.87719 |      -0.35366 |     491.77325 |       0.22036 |       1.00000 |     489.60019 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01732 |  -42048.33203 |      -0.01048 |      -0.00180 |      -0.05458 |       0.76943 |       0.00013 | 
    100.84663 |       4.53902 |       4.53902 |       0.00000 |      10.73126 |      10.73126 |     119.89162 |       0.00000 |       0.07009 |       0.07060 |       0.07060 |       0.00000 |       0.08125 |       0.08125 |       0.00011 |       0.00511 |       0.99832 |      -0.01026 |      -0.87377 |       0.00000 |       0.00000 |       0.00000 |      -0.00082 |       0.08190 |       0.03131 |       0.41714 |      -0.20499 |     256.94751 |     257.17725 |       6.12534 |       3.08212 |     161.91794 |      -1.25161 |       0.09073 |      51.87719 |      -0.35366 |     491.77283 |       0.21990 |       1.00000 |     491.28357 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01746 |  -42048.33203 |       0.01111 |      -0.00052 |       0.03458 |       0.90594 |       0.00015 | 
    101.87124 |       5.37090 |       5.37090 |       0.00000 |      10.73149 |      10.73149 |     119.89185 |       0.00000 |       0.07631 |       0.07686 |       0.07686 |       0.00000 |       0.08845 |       0.08845 |       0.00012 |       0.00175 |       1.00283 |       0.01644 |       0.48231 |       0.00000 |       0.00000 |       0.00000 |       0.00016 |      -0.02910 |       0.02153 |       0.41098 |      -0.28542 |     257.58176 |     257.81149 |       6.86293 |      -3.44556 |     350.42645 |      -0.05566 |       0.02472 |      51.87719 |      -0.35366 |     491.77295 |       0.22006 |       1.00000 |     491.66507 |      51.50000 |       0.00000 |  -24304.77930 |     -35.01746 |  -42048.33594 |      -0.00639 |      -0.00032 |      -0.03902 |       1.05231 |       0.00017 | 
    102.89014 |       6.24367 |       6.24367 |       0.00000 |      10.73173 |      10.73173 |     119.89210 |       0.00000 |       0.16460 |       0.16579 |       0.16578 |       0.00000 |       0.19079 |       0.19079 |       0.00025 |       0.00774 |       0.99668 |       0.02276 |       0.85630 |       0.00000 |       0.00000 |       0.00000 |       0.00129 |      -0.12420 |       0.00592 |       0.40687 |      -0.32036 |     258.25482 |     258.48456 |       9.78257 |      -7.63276 |     348.46722 |      -0.14162 |       0.03013 |      51.87719 |      -0.35366 |     491.77313 |       0.22019 |       1.00000 |     491.74902 |      51.50000 |       0.00000 |  -24304.77734 |     -35.01743 |  -42048.33984 |      -0.01665 |      -0.00083 |      -0.08364 |       1.19780 |       0.00020 | 
