
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    143.76445 |       0.05025 |       0.05025 |       0.00000 |      17.45001 |      11.45001 |     120.98198 |       0.00000 |       0.92787 |       0.94562 |       0.94513 |       0.00000 |       1.08820 |       1.08820 |       0.00143 |       0.17975 |       1.60394 |       0.10348 |      -0.36920 |       0.00000 |       0.00000 |       0.00000 |      -0.06277 |       0.04228 |       0.04998 |       1.84578 |      -0.30323 |       0.26632 |     356.78564 |     -40.33115 |       2.79065 |     311.13538 |      82.00330 |       0.02609 |      32.80846 |     -97.61697 |    1032.17871 |       0.06117 |       1.00000 |       6.64015 |      32.50000 |     -98.00000 |   35838.95312 |     121.13766 |  -34403.75781 |      -0.04841 |       0.48177 |      -0.04694 |       0.00684 |       0.00000 | 
    149.75621 |       0.10050 |       0.10050 |       0.00000 |      17.45003 |      11.45003 |     120.98199 |       0.00000 |       1.01436 |       1.03377 |       1.03341 |       0.00000 |       1.18964 |       1.18964 |       0.00156 |       1.16385 |       0.86592 |       0.18146 |       0.32587 |       0.00000 |       0.00000 |       0.00000 |      -0.14216 |      -0.03279 |      -0.00203 |       1.51234 |      -0.36107 |       0.29792 |     356.81726 |     -40.09038 |      -0.84882 |       5.77544 |      76.84061 |      -0.04101 |      32.80846 |     -97.61697 |    1032.26587 |       0.14844 |       1.00000 |      21.73913 |      32.50000 |     -98.00000 |   35838.95312 |     121.16422 |  -34403.76172 |       0.01467 |       0.51712 |      -0.12329 |       0.02385 |       0.00000 | 
    155.08481 |       0.54286 |       0.54286 |       0.00000 |      17.45015 |      11.45015 |     120.98212 |       0.07461 |       0.11771 |       0.11996 |       0.11989 |       0.08585 |       0.13805 |       0.13805 |       0.00018 |      11.17076 |       0.97523 |      -0.13820 |       0.01583 |       0.00000 |       0.00000 |       0.00000 |       0.06764 |      -0.00107 |       0.00145 |      -1.88311 |      -0.47261 |       0.57435 |     357.09369 |     -10.78537 |       0.41195 |     187.34178 |       7.00902 |       0.07851 |      32.80846 |     -97.61697 |    1032.37024 |       0.25411 |       1.00000 |     317.10666 |      32.50000 |     -98.00000 |   35838.94531 |     121.19566 |  -34403.83203 |      -0.00757 |       0.00790 |       0.06073 |       0.26669 |       0.00004 | 
    156.08968 |       1.54038 |       1.54038 |       0.00000 |      17.45043 |      11.45043 |     120.98239 |       0.04516 |       0.02366 |       0.02411 |       0.02411 |       0.05197 |       0.02775 |       0.02775 |       0.00004 |       3.87662 |       0.98781 |      -0.04350 |       0.01223 |       0.00000 |       0.00000 |       0.00000 |       0.01234 |      -0.00036 |      -0.00071 |      -0.90953 |      -0.41847 |       0.53405 |     357.05338 |       1.80450 |       0.10868 |     190.74094 |     -33.24793 |       0.21114 |      32.80846 |     -97.61697 |    1032.35120 |       0.23472 |       1.00000 |     848.08209 |      32.50000 |     -98.00000 |   35838.94922 |     121.18996 |  -34403.81250 |      -0.00194 |      -0.00673 |       0.01024 |       0.48560 |       0.00008 | 
    157.09917 |       2.54303 |       2.54303 |       0.00000 |      17.45071 |      11.45071 |     120.98267 |       0.01051 |       0.00360 |       0.00367 |       0.00367 |       0.01210 |       0.00422 |       0.00422 |       0.00001 |       0.84979 |       0.99673 |      -0.01946 |       0.00917 |       0.00000 |       0.00000 |       0.00000 |       0.00204 |      -0.00063 |      -0.00584 |      -0.68617 |      -0.42134 |       0.37971 |     356.89905 |       0.24352 |       0.06791 |     228.77417 |      -6.73330 |       0.28263 |      32.80846 |     -97.61697 |    1032.34436 |       0.22774 |       1.00000 |     996.53491 |      32.50000 |     -98.00000 |   35838.94922 |     121.18792 |  -34403.80469 |      -0.00111 |      -0.00117 |       0.00098 |       0.54270 |       0.00009 | 
    158.11012 |       3.54965 |       3.54965 |       0.00000 |      17.45099 |      11.45099 |     120.98296 |       0.00196 |       0.00673 |       0.00686 |       0.00686 |       0.00225 |       0.00790 |       0.00790 |       0.00001 |       0.15997 |       0.99921 |      -0.01242 |       0.00665 |       0.00000 |       0.00000 |       0.00000 |       0.00057 |      -0.00267 |       0.00214 |      -0.61685 |      -0.38948 |       0.32900 |     356.84833 |       0.53791 |       0.28177 |     261.21643 |      -1.76252 |       0.31864 |      32.80846 |     -97.61697 |    1032.34229 |       0.22561 |       1.00000 |    1026.18042 |      32.50000 |     -98.00000 |   35838.94922 |     121.18727 |  -34403.80469 |      -0.00348 |      -0.00029 |       0.00055 |       0.55817 |       0.00009 | 
    159.11969 |       4.55921 |       4.55921 |       0.00000 |      17.45127 |      11.45127 |     120.98323 |       0.00033 |       0.00086 |       0.00088 |       0.00088 |       0.00038 |       0.00101 |       0.00101 |       0.00000 |       0.02836 |       0.99962 |      -0.01096 |       0.00741 |       0.00000 |       0.00000 |       0.00000 |       0.00010 |      -0.00026 |       0.00051 |      -0.60360 |      -0.40750 |       0.39077 |     356.91010 |       0.06436 |       0.03397 |     258.53815 |      -0.40611 |       0.35783 |      32.80846 |     -97.61697 |    1032.34192 |       0.22527 |       1.00000 |    1031.35010 |      32.50000 |     -98.00000 |   35838.94922 |     121.18716 |  -34403.80469 |      -0.00044 |      -0.00007 |       0.00009 |       0.56305 |       0.00009 | 
    160.09071 |       5.52029 |       5.52029 |       0.00000 |      17.45153 |      11.45153 |     120.98350 |       0.00006 |       0.00028 |       0.00029 |       0.00029 |       0.00007 |       0.00033 |       0.00033 |       0.00000 |       0.00670 |       0.99974 |      -0.01059 |       0.00724 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |      -0.00009 |       0.00024 |      -0.60002 |      -0.40950 |       0.41044 |     356.92975 |       0.00776 |       0.01238 |     274.34680 |      -0.08303 |       0.37736 |      32.80846 |     -97.61697 |    1032.34180 |       0.22520 |       1.00000 |    1032.17175 |      32.50000 |     -98.00000 |   35838.94922 |     121.18715 |  -34403.80469 |      -0.00015 |      -0.00001 |      -0.00001 |       0.56402 |       0.00009 | 
    161.10042 |       6.50728 |       6.50728 |       0.00000 |      17.45181 |      11.45181 |     120.98377 |       0.00001 |       0.00006 |       0.00006 |       0.00006 |       0.00001 |       0.00007 |       0.00007 |       0.00000 |       0.00200 |       0.99981 |      -0.01049 |       0.00719 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |      -0.00001 |       0.00013 |      -0.59926 |      -0.41054 |       0.42076 |     356.94009 |      -0.00072 |       0.00225 |     286.03302 |       0.01868 |       0.39028 |      32.80846 |     -97.61697 |    1032.34180 |       0.22517 |       1.00000 |    1032.31165 |      32.50000 |     -98.00000 |   35838.94922 |     121.18714 |  -34403.80469 |      -0.00003 |       0.00000 |      -0.00001 |       0.56432 |       0.00009 | 
    162.11139 |       7.49260 |       7.49260 |       0.00000 |      17.45208 |      11.45208 |     120.98405 |       0.00000 |       0.00004 |       0.00004 |       0.00004 |       0.00000 |       0.00004 |       0.00004 |       0.00000 |       0.00065 |       0.99982 |      -0.01046 |       0.00718 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |      -0.00001 |       0.00007 |      -0.59912 |      -0.41118 |       0.42605 |     356.94537 |      -0.00054 |       0.00134 |     286.75073 |       0.01523 |       0.39832 |      32.80846 |     -97.61697 |    1032.34180 |       0.22517 |       1.00000 |    1032.33362 |      32.50000 |     -98.00000 |   35838.94922 |     121.18713 |  -34403.80469 |      -0.00002 |       0.00000 |      -0.00001 |       0.56442 |       0.00009 | 
