# leg1 very low all the way until turn
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
     56.01527 |       0.05025 |       0.05025 |       0.00000 |      19.91001 |      11.91001 |     124.51885 |       0.00000 |       1.00174 |       1.00750 |       1.00722 |       0.00000 |       1.15941 |       1.15941 |       0.00152 |       0.19291 |       1.63363 |       0.18594 |      -0.75520 |       0.00000 |       0.00000 |       0.00000 |      -0.01277 |       0.08302 |       0.11127 |       1.34196 |      -0.42402 |      85.49608 |      69.79887 |     -44.92295 |       3.88650 |       9.47551 |      81.83450 |       0.05331 |      49.01913 |    -122.37966 |     183.57228 |       0.06440 |       1.00000 |       1.17779 |      49.50000 |    -122.00000 |  -27716.99219 |    -228.31883 |   53459.99609 |       0.01028 |       0.51369 |      -0.06825 |       0.00774 |       0.00000 | 
     66.91602 |       0.10050 |       0.10050 |       0.00000 |      19.91003 |      11.91003 |     124.51887 |       0.00000 |       1.04645 |       1.05246 |       1.05224 |       0.00000 |       1.21115 |       1.21115 |       0.00159 |       1.24029 |       0.82839 |       0.11259 |       0.44714 |       0.00000 |       0.00000 |       0.00000 |      -0.07898 |      -0.02379 |      -0.00495 |       1.17083 |      -0.43601 |      85.50359 |      69.80638 |     -45.50984 |      -2.46886 |     126.44988 |      83.69710 |      -0.01447 |      49.01913 |    -122.37966 |     183.66379 |       0.15590 |       1.00000 |       3.86293 |      49.50000 |    -122.00000 |  -27716.99023 |    -228.29094 |   53459.99609 |       0.04532 |       0.53804 |       0.04007 |       0.01681 |       0.00000 | 
     74.75839 |       0.45873 |       0.45873 |       0.00000 |      19.91013 |      11.91013 |     124.51897 |       0.01562 |       0.07626 |       0.07670 |       0.07668 |       0.01798 |       0.08827 |       0.08827 |       0.00012 |      10.83612 |       1.08789 |      -0.04516 |       0.57214 |       0.00000 |       0.00000 |       0.00000 |      -0.00526 |      -0.07496 |       0.01929 |      -1.30020 |      -0.29092 |      85.65485 |      69.95765 |       0.50174 |      -1.45965 |     123.51768 |     -10.97316 |      -0.01037 |      49.01913 |    -122.37966 |     183.74341 |       0.23626 |       1.00000 |      44.99978 |      49.50000 |    -122.00000 |  -27716.94336 |    -228.26643 |   53459.99219 |       0.03222 |      -0.00755 |       0.02149 |       0.17854 |       0.00003 | 
     75.77363 |       1.24965 |       1.24965 |       0.00000 |      19.91035 |      11.91035 |     124.51918 |       0.01644 |       0.08775 |       0.08825 |       0.08825 |       0.01892 |       0.10156 |       0.10156 |       0.00013 |       5.08622 |       0.99778 |       0.00393 |       0.66978 |       0.00000 |       0.00000 |       0.00000 |      -0.03441 |      -0.05622 |       0.01536 |      -0.21939 |      -0.25121 |      86.24232 |      70.54512 |      -1.13359 |       0.53777 |      73.12510 |      24.13370 |      -0.11467 |      49.01913 |    -122.37966 |     183.73010 |       0.22269 |       1.00000 |     132.91992 |      49.50000 |    -122.00000 |  -27716.96484 |    -228.27051 |   53459.98438 |       0.03963 |       0.01883 |      -0.01167 |       0.36261 |       0.00006 | 
     76.75878 |       2.05344 |       2.05344 |       0.00000 |      19.91057 |      11.91057 |     124.51941 |       0.00586 |       0.03780 |       0.03802 |       0.03802 |       0.00674 |       0.04375 |       0.04375 |       0.00006 |       1.67792 |       1.00660 |       0.01244 |       0.48470 |       0.00000 |       0.00000 |       0.00000 |      -0.00464 |      -0.03447 |       0.02054 |      -0.15562 |      -0.21750 |      86.78030 |      71.08309 |      -0.82070 |      -1.46113 |     165.24406 |      10.34394 |      -0.18912 |      49.01913 |    -122.37966 |     183.72752 |       0.21996 |       1.00000 |     169.23431 |      49.50000 |    -122.00000 |  -27716.96680 |    -228.27141 |   53459.99609 |       0.00479 |       0.00338 |       0.01866 |       0.49367 |       0.00008 | 
     77.74770 |       2.84590 |       2.84590 |       0.00000 |      19.91079 |      11.91079 |     124.51963 |       0.00169 |       0.14798 |       0.14883 |       0.14883 |       0.00195 |       0.17127 |       0.17127 |       0.00022 |       0.52174 |       0.99811 |      -0.00564 |       0.64137 |       0.00000 |       0.00000 |       0.00000 |       0.00141 |      -0.08488 |      -0.01457 |      -0.24486 |      -0.39943 |      86.94051 |      71.24331 |      11.89996 |      -6.72124 |     178.95444 |      -0.51294 |      -0.25508 |      49.01913 |    -122.37966 |     183.73012 |       0.22259 |       1.00000 |     179.92754 |      49.50000 |    -122.00000 |  -27716.96484 |    -228.27066 |   53460.00391 |       0.00101 |      -0.00132 |       0.07655 |       0.60500 |       0.00010 | 
     78.72705 |       3.61433 |       3.61433 |       0.00000 |      19.91100 |      11.91100 |     124.51984 |       0.00046 |       0.03112 |       0.03130 |       0.03130 |       0.00053 |       0.03602 |       0.03602 |       0.00005 |       0.14900 |       1.00346 |      -0.00370 |       0.47775 |       0.00000 |       0.00000 |      -0.20000 |       0.00043 |      -0.03939 |      -0.00026 |      -0.25352 |      -0.10716 |      86.58858 |      70.89137 |      -1.58753 |      -1.42240 |     176.82771 |       1.75589 |      -0.35378 |      49.01913 |    -122.37966 |     183.73065 |       0.22296 |       1.00000 |     182.74487 |      49.50000 |    -122.00000 |  -27716.96289 |    -228.27061 |   53460.01953 |       0.00081 |       0.00036 |       0.01608 |       0.69438 |       0.00011 | 
     79.72091 |       4.38883 |       4.38883 |       0.00000 |      19.91122 |      11.91122 |     124.52006 |       0.00012 |       0.17957 |       0.18060 |       0.18060 |       0.00014 |       0.20783 |       0.20783 |       0.00027 |       0.04471 |       0.99814 |      -0.00687 |       0.77144 |       0.00000 |       0.00000 |      -0.20000 |       0.00026 |      -0.09616 |      -0.00819 |      -0.25646 |      -0.30862 |      86.52963 |      70.83243 |      13.93355 |      -8.32503 |     176.86862 |       0.11285 |      -0.39342 |      49.01913 |    -122.37966 |     183.73061 |       0.22285 |       1.00000 |     183.48482 |      49.50000 |    -122.00000 |  -27716.96289 |    -228.27068 |   53460.02344 |       0.00461 |      -0.00057 |       0.09279 |       0.79088 |       0.00013 | 
     80.70095 |       5.16549 |       5.16549 |       0.00000 |      19.91143 |      11.91144 |     124.52027 |       0.00003 |       0.14419 |       0.14501 |       0.14501 |       0.00003 |       0.16688 |       0.16688 |       0.00022 |       0.01874 |       0.99983 |      -0.01548 |      -0.46434 |       0.00000 |       0.00000 |      -0.20000 |      -0.00057 |       0.05476 |      -0.00024 |      -0.25852 |      -0.11698 |      86.53074 |      70.83353 |     -10.90270 |       6.65716 |     355.89517 |       0.31161 |      -0.14702 |      49.01913 |    -122.37966 |     183.73087 |       0.22328 |       1.00000 |     183.66916 |      49.50000 |    -122.00000 |  -27716.96289 |    -228.27052 |   53460.01562 |      -0.00497 |       0.00101 |      -0.07443 |       0.87971 |       0.00014 | 
     81.68854 |       5.96142 |       5.96142 |       0.00000 |      19.91166 |      11.91166 |     124.52049 |       0.00001 |       0.10713 |       0.10775 |       0.10775 |       0.00001 |       0.12399 |       0.12399 |       0.00016 |      -0.00097 |       0.99909 |      -0.00531 |       0.65005 |       0.00000 |       0.00000 |      -0.20000 |       0.00018 |      -0.10211 |      -0.00580 |      -0.25619 |      -0.21516 |      86.42926 |      70.73206 |       6.64889 |      -4.94552 |     176.81784 |      -0.45740 |      -0.01178 |      49.01913 |    -122.37966 |     183.73053 |       0.22308 |       1.00000 |     183.71407 |      49.50000 |    -122.00000 |  -27716.96484 |    -228.27051 |   53460.00000 |       0.00280 |      -0.00089 |       0.05535 |       0.99870 |       0.00016 | 
