T	y_agl	ELEVATION	DELEVATION	airspeed
# note y_agl is only set to be used at the start to decide a suitable altitude to aim for
# if more than 500 feet off the ground which use a nearby altitude to aim for
0	0	100	0	0
10	0	100	0	0
20	0	100	0	0
30	0	100	0	0
40	0	120	10	20
50	0	130	30	40
60	0	140	70	40
70	0	150	80	40
80	0	170	90	50
90	0	175	100	60
120	0	250	50	60
# at correct altitude and airspeed
150	0	304	0	65
160	0	310	0	65
180	0	320	0	65
210	0	310	0	75
220	0	310	0	76
230	0	310	0	77
240	0	310	0	78
# altitude dropping and airspeed increasing
250	0	305	0	78
260	0	290	0	85
270	0	280	0	87
# back to correct altitude and airspeed
300	0	305	0	80
310	0	305	0	80
320	0	305	0	78
330	0	306	0	79
340	0	307	0	79
350	0	306	0	80
# well finished - now should be aiming for new airspeed of 60 knots
360	0	306	0	70
370	0	306	0	60
380	0	306	0	54
390	0	306	0	54
400	0	306	0	54
410	0	306	0	54
420	0	306	0	54
430	0	306	0	54
# again
440	0	306	0	54
450	0	306	0	54
460	0	302	0	54
470	0	301	0	56
480	0	300	0	57
490	0	300	0	55
550	0	306	0	54
560	0	302	0	54
570	0	301	0	56
580	0	300	0	57
590	0	300	0	55
650	0	306	0	54
660	0	302	0	54
670	0	301	0	56
680	0	300	0	57
690	0	300	0	55
760	0	302	0	54
770	0	301	0	56
780	0	300	0	57
790	0	300	0	55
