
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
     41.88054 |       0.05025 |       0.05025 |       0.00000 |      12.98001 |      13.98001 |     128.16176 |       0.01041 |      14.82570 |      14.93091 |       0.96648 |       0.01198 |      17.18218 |       1.11257 |       0.02250 |       0.18549 |       1.60865 |       0.05236 |      -0.05625 |       0.00000 |       0.00000 |       0.00000 |      -0.03810 |      -0.06292 |       0.03647 |       1.46543 |       0.17594 |     285.43253 |     282.15005 |     -14.75171 |     -77.16776 |     217.64552 |      83.16320 |      -0.06670 |      56.18013 |      10.07145 |     212.67961 |       0.06460 |       1.00000 |       1.36516 |      56.50000 |      10.00000 |    4427.26709 |     -36.09796 |   35606.19922 |      -0.03577 |       0.49358 |       0.04967 |       0.00768 |       0.00000 | 
     50.23486 |       0.10050 |       0.10050 |       0.00000 |      12.98003 |      13.98003 |     128.16177 |       0.04913 |      14.79711 |      14.90214 |       1.02188 |       0.05654 |      17.14907 |       1.17624 |       0.02246 |       1.19192 |       0.82672 |       0.13968 |      -0.05906 |       0.00000 |       0.00000 |       0.00000 |      -0.10391 |      -0.08627 |       0.04988 |       1.23389 |      -0.04045 |     285.55023 |     282.26776 |     -14.08742 |     -76.60678 |     239.23633 |      77.15213 |      -0.13158 |      56.18013 |      10.07145 |     212.76712 |       0.15231 |       1.00000 |       4.47611 |      56.50000 |      10.00000 |    4427.26270 |     -36.07130 |   35606.20312 |      -0.10006 |       0.51239 |       0.06277 |       0.02431 |       0.00000 | 
     56.73486 |       0.49089 |       0.49089 |       0.00000 |      12.98014 |      13.98014 |     128.16188 |       0.89115 |      14.88659 |      14.99227 |       0.01011 |       1.02552 |      17.25280 |       0.01164 |       0.02259 |      10.83634 |       1.03679 |      -0.14152 |       0.07084 |       0.00000 |       0.00000 |       0.00000 |       0.01667 |       0.01449 |       0.00637 |      -1.58438 |      -1.14229 |     286.23215 |     282.94968 |       4.19319 |     -77.09861 |     144.55782 |       5.07242 |       0.19607 |      56.18013 |      10.07145 |     212.85803 |       0.24547 |       1.00000 |      57.24068 |      56.50000 |      10.00000 |    4427.20312 |     -36.04363 |   35606.21875 |       0.00298 |       0.00086 |       0.00418 |       0.22700 |       0.00004 | 
     57.70635 |       1.30372 |       1.30372 |       0.00000 |      12.98036 |      13.98036 |     128.16211 |       2.46354 |      14.88280 |      14.98845 |       0.09429 |       2.83499 |      17.24841 |       0.10851 |       0.02259 |       4.76080 |       0.99387 |      -0.02801 |       0.01209 |       0.00000 |       0.00000 |       0.00000 |      -0.03299 |      -0.01038 |      -0.00378 |      -0.55467 |      -0.59058 |     286.11856 |     282.83609 |       1.70775 |     -76.88333 |     265.58252 |      20.18126 |       0.30718 |      56.18013 |      10.07145 |     212.84036 |       0.22691 |       1.00000 |     158.50920 |      56.50000 |      10.00000 |    4427.22656 |     -36.04899 |   35606.21094 |      -0.04538 |       0.01675 |       0.00365 |       0.39866 |       0.00007 | 
     58.73361 |       2.20340 |       2.20340 |       0.00000 |      12.98061 |      13.98061 |     128.16235 |       3.09753 |      14.89060 |      14.99631 |       0.03139 |       3.56458 |      17.25744 |       0.03613 |       0.02260 |       1.22428 |       1.00007 |      -0.00613 |       0.00896 |       0.00000 |       0.00000 |       0.00000 |      -0.01146 |      -0.00406 |      -0.00602 |      -0.41283 |      -0.56718 |     285.94385 |     282.66138 |       1.93597 |     -77.28016 |     265.60565 |      20.94849 |       0.42090 |      56.18013 |      10.07145 |     212.83676 |       0.22323 |       1.00000 |     199.72604 |      56.50000 |      10.00000 |    4427.22852 |     -36.05009 |   35606.21094 |      -0.01503 |       0.00578 |       0.00120 |       0.44714 |       0.00007 | 
     59.71075 |       3.00046 |       3.00046 |       0.00000 |      12.98083 |      13.98083 |     128.16258 |       3.22848 |      16.53077 |      16.64812 |       0.00433 |       3.71526 |      19.15831 |       0.00498 |       0.02509 |       0.36898 |       1.00065 |      -0.00643 |       0.01078 |       0.00000 |       0.00000 |       0.00000 |       0.00046 |      -0.00035 |       0.00521 |      -0.43229 |      -0.62834 |     285.75433 |     282.47186 |       2.49116 |     -77.58663 |     136.45879 |      -0.25851 |       0.49106 |      56.18013 |      10.07145 |     212.83710 |       0.22361 |       1.00000 |     209.47202 |      56.50000 |      10.00000 |    4427.22705 |     -36.05000 |   35606.21094 |       0.00153 |      -0.00006 |       0.00161 |       0.46262 |       0.00008 | 
     60.71411 |       3.99603 |       3.99603 |       0.00000 |      12.98111 |      13.98111 |     128.16286 |       3.61512 |      17.54600 |      17.67056 |       0.00114 |       4.16020 |      20.33491 |       0.00131 |       0.02663 |       0.05305 |       0.99987 |      -0.00745 |       0.01185 |       0.00000 |       0.00000 |       0.00000 |       0.00020 |      -0.00032 |       0.00108 |      -0.43646 |      -0.70370 |     285.97128 |     282.68881 |       2.65931 |     -77.35920 |     147.56563 |       0.05167 |       0.57436 |      56.18013 |      10.07145 |     212.83745 |       0.22398 |       1.00000 |     212.26315 |      56.50000 |      10.00000 |    4427.22705 |     -36.04990 |   35606.21484 |       0.00031 |       0.00001 |       0.00049 |       0.47301 |       0.00008 | 
     61.71099 |       4.99058 |       4.99058 |       0.00000 |      12.98139 |      13.98139 |     128.16313 |       3.77338 |      17.32245 |      17.44542 |       0.00025 |       4.34233 |      20.07583 |       0.00029 |       0.02629 |       0.00746 |       1.00005 |      -0.00750 |       0.01227 |       0.00000 |       0.00000 |       0.00000 |       0.00002 |       0.00005 |       0.00026 |      -0.43717 |      -0.70354 |     286.00064 |     282.71817 |       2.57684 |     -77.32926 |      53.12820 |      -0.15879 |       0.62679 |      56.18013 |      10.07145 |     212.83748 |       0.22398 |       1.00000 |     212.74167 |      56.50000 |      10.00000 |    4427.22754 |     -36.04989 |   35606.21484 |       0.00010 |      -0.00003 |      -0.00008 |       0.47385 |       0.00008 | 
     62.70510 |       5.98371 |       5.98371 |       0.00000 |      12.98166 |      13.98166 |     128.16341 |       3.78670 |      17.20107 |      17.32318 |       0.00028 |       4.35765 |      19.93516 |       0.00033 |       0.02611 |      -0.00148 |       0.99994 |      -0.00747 |       0.01211 |       0.00000 |       0.00000 |       0.00000 |      -0.00001 |       0.00009 |       0.00015 |      -0.43595 |      -0.70015 |     286.01160 |     282.72913 |       2.53769 |     -77.31829 |      14.10446 |      -0.07138 |       0.65669 |      56.18013 |      10.07145 |     212.83743 |       0.22394 |       1.00000 |     212.81952 |      56.50000 |      10.00000 |    4427.22754 |     -36.04991 |   35606.21484 |       0.00004 |      -0.00001 |      -0.00014 |       0.47436 |       0.00008 | 
     63.69786 |       6.97647 |       6.97647 |       0.00000 |      12.98194 |      13.98194 |     128.16368 |       3.78717 |      17.13500 |      17.25664 |       0.00018 |       4.35820 |      19.85859 |       0.00020 |       0.02601 |      -0.00161 |       0.99981 |      -0.00772 |       0.01217 |       0.00000 |       0.00000 |       0.00000 |      -0.00005 |      -0.00001 |       0.00006 |      -0.43662 |      -0.69943 |     286.01773 |     282.73526 |       2.52872 |     -77.31168 |     289.43579 |      -0.39055 |       0.67346 |      56.18013 |      10.07145 |     212.83743 |       0.22394 |       1.00000 |     212.83186 |      56.50000 |      10.00000 |    4427.22754 |     -36.04990 |   35606.21484 |      -0.00006 |      -0.00007 |      -0.00002 |       0.47500 |       0.00008 | 
