
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
   3964.19336 |       0.05025 |       0.05025 |       0.00000 |      19.17001 |      16.17001 |     131.74434 |      -0.03032 |      14.64348 |      15.12337 |       1.01439 |      -0.03489 |      17.40367 |       1.16774 |       0.02290 |       0.19149 |       1.62527 |       0.55840 |      -0.72077 |      -0.00000 |      -0.00000 |       0.00000 |       0.03268 |       0.11713 |       0.09633 |       1.50453 |       0.20689 |     110.18376 |     129.43771 |    -172.41183 |      51.17839 |      45.91655 |      78.37812 |       0.03281 |     -23.33047 |     -51.13953 |    1863.05334 |       0.06486 |       1.00000 |      11.98833 |     -23.50000 |     -51.00000 |  -14263.57324 |     524.00824 |  -18867.08398 |       0.07433 |       0.51127 |      -0.07475 |       0.00865 |       0.00000 | 
   3972.65991 |       0.10050 |       0.10050 |       0.00000 |      19.17003 |      16.17003 |     131.74434 |      -0.14138 |      14.53397 |      15.01029 |       1.01832 |      -0.16270 |      17.27353 |       1.17222 |       0.02273 |       1.22966 |       0.80909 |       0.07910 |       0.37478 |      -0.00000 |      -0.00000 |       0.00000 |      -0.04909 |      -0.03556 |       0.05000 |       1.41904 |       0.15965 |     110.36848 |     129.62244 |    -172.35165 |      50.32927 |     135.03381 |      88.25436 |      -0.03445 |     -23.33047 |     -51.13953 |    1863.14307 |       0.15462 |       1.00000 |      39.24173 |     -23.50000 |     -51.00000 |  -14263.57324 |     524.03558 |  -18867.08594 |       0.01012 |       0.52384 |       0.00973 |       0.01461 |       0.00000 | 
   3979.75830 |       0.43364 |       0.43364 |       0.00000 |      19.17012 |      16.17012 |     131.74445 |      -2.02912 |      17.93704 |      18.52493 |       0.18657 |      -2.33507 |      21.31811 |       0.21473 |       0.02805 |      11.60927 |       1.12957 |      -0.13705 |      -0.26151 |      -0.00000 |      -0.00000 |       0.00000 |      -0.05873 |       0.04983 |      -0.01615 |      -0.80166 |       0.14806 |     110.59221 |     129.84616 |     178.83066 |      50.51059 |     120.61078 |     -35.26128 |       0.07454 |     -23.33047 |     -51.13953 |    1863.24805 |       0.25901 |       1.00000 |     421.09424 |     -23.50000 |     -51.00000 |  -14263.53418 |     524.06775 |  -18867.07031 |       0.06762 |      -0.05515 |       0.04001 |       0.15239 |       0.00003 | 
   3980.74097 |       1.27846 |       1.27846 |       0.00000 |      19.17035 |      16.17035 |     131.74467 |      -9.00558 |      22.71883 |      23.46343 |       0.12509 |     -10.36344 |      27.00124 |       0.14395 |       0.03553 |       5.52334 |       0.99761 |      -0.00401 |       0.41481 |      -0.00000 |      -0.00000 |       0.00000 |      -0.02442 |      -0.05292 |       0.00857 |       0.06624 |       0.47964 |     111.19200 |     130.44595 |     179.93172 |      49.54099 |     174.19154 |      10.10507 |      -0.01525 |     -23.33047 |     -51.13953 |    1863.23096 |       0.24251 |       1.00000 |    1370.47998 |     -23.50000 |     -51.00000 |  -14263.55273 |     524.06250 |  -18867.05859 |       0.00645 |       0.01149 |       0.06299 |       0.31613 |       0.00005 | 
   3981.77148 |       2.13273 |       2.13273 |       0.00000 |      19.17059 |      16.17059 |     131.74490 |     -12.70045 |      20.36447 |      21.03190 |       0.05034 |     -14.61542 |      24.20308 |       0.05793 |       0.03185 |       1.47851 |       1.00210 |       0.01074 |      -0.37992 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00112 |       0.06346 |       0.00397 |       0.10812 |       0.53319 |     111.91536 |     131.16931 |     179.85252 |      48.98909 |      28.80401 |       1.43234 |       0.03533 |     -23.33047 |     -51.13953 |    1863.22729 |       0.23892 |       1.00000 |    1734.91711 |     -23.50000 |     -51.00000 |  -14263.55371 |     524.06140 |  -18867.05273 |       0.01245 |       0.00061 |      -0.02270 |       0.43373 |       0.00007 | 
   3982.75781 |       2.93675 |       2.93675 |       0.00000 |      19.17082 |      16.17082 |     131.74513 |     -13.08474 |      18.75789 |      19.37267 |       0.01833 |     -15.05766 |      22.29367 |       0.02109 |       0.02934 |       0.35626 |       1.00021 |       0.00868 |      -0.43516 |      -0.00000 |      -0.00000 |       0.00000 |       0.00133 |       0.01054 |      -0.00454 |       0.05477 |       0.47752 |     112.00970 |     131.26366 |     179.87117 |      48.83625 |      34.66005 |       3.84468 |       0.03226 |     -23.33047 |     -51.13953 |    1863.22937 |       0.24101 |       1.00000 |    1830.59082 |     -23.50000 |     -51.00000 |  -14263.55469 |     524.06207 |  -18867.04102 |       0.00534 |       0.00066 |      -0.00774 |       0.54109 |       0.00009 | 
   3983.75708 |       3.74077 |       3.74077 |       0.00000 |      19.17104 |      16.17104 |     131.74536 |     -12.50100 |      17.64943 |      18.22788 |       0.04230 |     -14.38589 |      20.97626 |       0.04868 |       0.02760 |       0.09286 |       0.99976 |      -0.00055 |      -0.49115 |      -0.00000 |      -0.00000 |       0.00000 |       0.00108 |       0.03005 |       0.01625 |       0.06315 |       0.43591 |     112.20713 |     131.46109 |     179.92348 |      48.69124 |      26.99719 |      -0.19406 |       0.03272 |     -23.33047 |     -51.13953 |    1863.22925 |       0.24090 |       1.00000 |    1855.37988 |     -23.50000 |     -51.00000 |  -14263.55371 |     524.06201 |  -18867.04297 |       0.00986 |      -0.00011 |      -0.01940 |       0.64281 |       0.00011 | 
   3984.76123 |       4.49718 |       4.49718 |       0.00000 |      19.17125 |      16.17125 |     131.74557 |     -11.88225 |      16.92980 |      17.48466 |       0.09686 |     -13.67385 |      20.12099 |       0.11146 |       0.02648 |      -0.01345 |       1.00000 |      -0.00215 |      -0.50512 |      -0.00000 |      -0.00000 |       0.00000 |       0.00002 |       0.06689 |       0.00751 |       0.06721 |       0.48956 |     112.48472 |     131.73868 |     179.86459 |      48.53207 |      23.31220 |      -0.47507 |      -0.04069 |     -23.33047 |     -51.13953 |    1863.22839 |       0.24026 |       1.00000 |    1861.23816 |     -23.50000 |     -51.00000 |  -14263.55566 |     524.06177 |  -18867.03516 |       0.01967 |      -0.00050 |      -0.04578 |       0.72978 |       0.00012 | 
   3985.77319 |       5.30120 |       5.30120 |       0.00000 |      19.17147 |      16.17147 |     131.74579 |     -11.36410 |      16.32128 |      16.85620 |       0.05962 |     -13.07758 |      19.39776 |       0.06861 |       0.02553 |      -0.00957 |       1.00170 |       0.01003 |      -0.30661 |      -0.00000 |      -0.00000 |       0.00000 |       0.00086 |       0.04529 |       0.00489 |       0.07092 |       0.39981 |     112.79541 |     132.04936 |     179.97067 |      48.14741 |      24.64236 |      -1.29169 |      -0.01600 |     -23.33047 |     -51.13953 |    1863.22815 |       0.24011 |       1.00000 |    1862.77380 |     -23.50000 |     -51.00000 |  -14263.55566 |     524.06171 |  -18867.03320 |       0.01276 |      -0.00075 |      -0.02788 |       0.82854 |       0.00014 | 
   3986.78101 |       5.96562 |       5.96562 |       0.00000 |      19.17166 |      16.17166 |     131.74597 |     -11.05580 |      16.04057 |      16.56629 |       0.15696 |     -12.72278 |      19.06414 |       0.18063 |       0.02509 |      -0.02924 |       1.00160 |      -0.00459 |      -0.78111 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00070 |       0.10230 |       0.00919 |       0.07265 |       0.47574 |     113.07407 |     132.32802 |     179.90457 |      48.09682 |      23.54290 |       0.80475 |      -0.02127 |     -23.33047 |     -51.13953 |    1863.22815 |       0.24008 |       1.00000 |    1863.09326 |     -23.50000 |     -51.00000 |  -14263.55469 |     524.06171 |  -18867.03320 |       0.03218 |       0.00099 |      -0.07405 |       0.91107 |       0.00015 | 
