
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   _Mach,ratio |   __VVI,__fpm |   Gload,norml |   Gload,axial |   Gload,_side |   _elev,stick |   ailrn,stick |   ruddr,stick |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
     43.40401 |       0.05025 |       0.05025 |       0.00000 |      19.17001 |      16.17001 |     131.81024 |       0.03029 |      14.42392 |      14.88539 |       1.02829 |       0.03485 |      17.12980 |       1.18393 |       0.02254 |       0.19460 |       1.63643 |       0.29733 |      -0.89949 |      -0.00000 |      -0.00000 |       0.00000 |       0.00881 |       0.10561 |       0.07010 |       1.81842 |      -0.07937 |     290.13913 |     309.40335 |      -4.41283 |     -49.93380 |     203.54080 |      78.33838 |       0.04632 |     -23.33681 |     -51.12060 |    1812.12183 |       0.06084 |       1.00000 |      11.66048 |     -23.50000 |     -51.00000 |  -12328.23926 |     514.56165 |  -18163.13086 |      -0.04365 |       0.51853 |       0.09664 |       0.00978 |       0.00000 | 
     52.08490 |       0.10050 |       0.10050 |       0.00000 |      19.17003 |      16.17003 |     131.81026 |       0.14187 |      14.54102 |      15.00626 |       1.04943 |       0.16326 |      17.26890 |       1.20821 |       0.02272 |       1.25102 |       0.80771 |       0.03497 |       0.47631 |      -0.00000 |      -0.00000 |       0.00000 |      -0.05411 |      -0.04213 |       0.09395 |       1.71939 |      -0.13636 |     290.41519 |     309.67941 |      -4.63150 |     -49.99140 |     218.68013 |      86.53431 |      -0.02128 |     -23.33681 |     -51.12060 |    1812.21387 |       0.15288 |       1.00000 |      38.16883 |     -23.50000 |     -51.00000 |  -12328.23926 |     514.58972 |  -18163.12891 |      -0.02142 |       0.53916 |       0.02397 |       0.01993 |       0.00000 | 
     57.76814 |       0.15075 |       0.15075 |       0.00000 |      19.17004 |      16.17004 |     131.81027 |       0.31960 |      14.62752 |      15.09555 |       0.74138 |       0.36779 |      17.37165 |       0.85345 |       0.02286 |       3.07793 |       0.60728 |       0.12966 |       0.17833 |      -0.00000 |      -0.00000 |       0.00000 |      -0.09552 |      -0.08181 |       0.04070 |       1.49090 |      -0.30620 |     290.56488 |     309.82910 |      -2.66368 |     -49.59137 |     270.32156 |      77.94274 |       0.02478 |     -23.33681 |     -51.12060 |    1812.28552 |       0.22431 |       1.00000 |      76.52730 |     -23.50000 |     -51.00000 |  -12328.24316 |     514.61151 |  -18163.12891 |      -0.08042 |       0.37295 |      -0.00144 |       0.03140 |       0.00001 | 
     60.01025 |       0.85554 |       0.85554 |       0.00000 |      19.17024 |      16.17024 |     131.81047 |       5.02483 |      15.99113 |      16.50278 |       0.18203 |       5.78247 |      18.99106 |       0.20950 |       0.02499 |       8.55872 |       1.02161 |       0.03428 |      -0.54622 |      -0.00000 |      -0.00000 |       0.00000 |       0.03006 |       0.05998 |       0.01883 |       0.87838 |       0.08823 |     291.23483 |     310.49905 |       0.84283 |     -49.41202 |     173.86578 |     -14.89323 |       0.34984 |     -23.33681 |     -51.12060 |    1812.26648 |       0.20504 |       1.00000 |     947.43262 |     -23.50000 |     -51.00000 |  -12328.25586 |     514.60571 |  -18163.12891 |       0.00979 |      -0.02380 |       0.09005 |       0.24311 |       0.00004 | 
     61.00515 |       1.69215 |       1.69215 |       0.00000 |      19.17047 |      16.17047 |     131.81070 |       9.01035 |      17.12144 |      17.66927 |       0.07531 |      10.36893 |      20.33344 |       0.08667 |       0.02675 |       3.05819 |       1.00299 |      -0.00654 |       0.43470 |      -0.00000 |      -0.00000 |       0.00000 |       0.01045 |      -0.03115 |       0.05088 |       0.55444 |      -0.11286 |     292.68671 |     311.95093 |       0.61676 |     -48.32781 |      55.62054 |     -10.32599 |       0.23684 |     -23.33681 |     -51.12060 |    1812.27625 |       0.21464 |       1.00000 |    1556.87000 |     -23.50000 |     -51.00000 |  -12328.26074 |     514.60870 |  -18163.11914 |       0.03145 |      -0.00695 |      -0.02153 |       0.37884 |       0.00006 | 
     62.01588 |       2.67312 |       2.67312 |       0.00000 |      19.17074 |      16.17074 |     131.81097 |      11.06279 |      17.62417 |      18.18809 |       0.06277 |      12.73083 |      20.93048 |       0.07223 |       0.02754 |       0.65662 |       1.00259 |       0.00542 |       0.43948 |      -0.00000 |      -0.00000 |       0.00000 |       0.00132 |      -0.02745 |       0.03452 |       0.55539 |      -0.14451 |     294.17627 |     313.44049 |       0.61384 |     -46.76880 |      36.20671 |      -1.47282 |       0.12260 |     -23.33681 |     -51.12060 |    1812.27600 |       0.21441 |       1.00000 |    1761.97803 |     -23.50000 |     -51.00000 |  -12328.25684 |     514.60864 |  -18163.11719 |       0.01905 |      -0.00087 |      -0.02606 |       0.52914 |       0.00009 | 
     63.01699 |       3.65750 |       3.65750 |       0.00000 |      19.17102 |      16.17102 |     131.81125 |      11.92927 |      17.53308 |      18.09407 |       0.02950 |      13.72796 |      20.82229 |       0.03395 |       0.02740 |       0.10867 |       1.00371 |       0.00698 |       0.38908 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00027 |      -0.03106 |       0.04006 |       0.56875 |      -0.11853 |     295.22687 |     314.49109 |       0.60075 |     -45.64088 |      46.67246 |       0.42812 |       0.05175 |     -23.33681 |     -51.12060 |    1812.27527 |       0.21372 |       1.00000 |    1803.37000 |     -23.50000 |     -51.00000 |  -12328.25391 |     514.60840 |  -18163.11328 |       0.01103 |       0.00011 |      -0.01042 |       0.68458 |       0.00011 | 
     64.03127 |       4.65053 |       4.65053 |       0.00000 |      19.17129 |      16.17129 |     131.81152 |      12.15488 |      16.96219 |      17.50492 |       0.04970 |      13.98758 |      20.14430 |       0.05720 |       0.02650 |       0.00560 |       1.00343 |       0.00805 |       0.39816 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00089 |      -0.02538 |       0.04116 |       0.55783 |      -0.08290 |     296.58820 |     315.85242 |       0.55764 |     -44.32848 |      36.10164 |       0.54875 |       0.00692 |     -23.33681 |     -51.12060 |    1812.27527 |       0.21395 |       1.00000 |    1810.80835 |     -23.50000 |     -51.00000 |  -12328.24805 |     514.60846 |  -18163.11719 |       0.01505 |       0.00022 |      -0.02067 |       0.83960 |       0.00014 | 
     65.04532 |       5.63574 |       5.63574 |       0.00000 |      19.17157 |      16.17157 |     131.81180 |      12.14948 |      16.59796 |      17.12904 |       0.01422 |      13.98138 |      19.71174 |       0.01636 |       0.02594 |       0.00908 |       1.00277 |       0.00616 |       0.41019 |      -0.00000 |      -0.00000 |       0.00000 |      -0.00116 |      -0.04472 |       0.04267 |       0.54314 |      -0.02793 |     297.97449 |     317.23871 |       0.49925 |     -42.85507 |      57.75456 |      -4.03399 |      -0.00690 |     -23.33681 |     -51.12060 |    1812.27563 |       0.21455 |       1.00000 |    1812.03625 |     -23.50000 |     -51.00000 |  -12328.24512 |     514.60858 |  -18163.11523 |       0.00616 |      -0.00070 |      -0.00389 |       0.99229 |       0.00016 | 
     66.05923 |       6.62748 |       6.62748 |       0.00000 |      19.17184 |      16.17184 |     131.81207 |      12.18635 |      16.49257 |      17.02028 |       0.14841 |      14.02380 |      19.58659 |       0.17079 |       0.02577 |      -0.00280 |       0.99951 |       0.06861 |       0.70121 |      -0.00000 |      -0.00000 |       0.00000 |       0.00328 |      -0.09030 |       0.01021 |       0.53840 |      -0.10025 |     299.32446 |     318.58868 |       0.55135 |     -41.82620 |      28.20630 |       0.16058 |      -0.02043 |     -23.33681 |     -51.12060 |    1812.27551 |       0.21434 |       1.00000 |    1812.23511 |     -23.50000 |     -51.00000 |  -12328.23828 |     514.60852 |  -18163.12109 |       0.03603 |       0.00009 |      -0.06731 |       1.15243 |       0.00019 | 
